Name,rank,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
University of Wisconsin-Madison ,102,0.00010206592560280114,0.00010206590741290711,0.00010228640894638374,0.29530981183052063,0.5914869010448456,0.00010206592560280114,0.11175953596830368,0.00010206587467109784,0.00010206591468886472,0.00010206591832684353
The Pontifical Catholic University of Chile,103,0.40217481314721226,1.107932030208758e-05,0.001344836834960006,1.1079319392592879e-05,0.0035881010653611156,1.1079319392592879e-05,1.1079320756834932e-05,1.1079315299866721e-05,0.03367911549003111,1.1079320756834932e-05
The University of Sheffield,104,7.804065535310656e-05,7.804064807714894e-05,0.6303850412368774,0.0007181323489930946,0.03726739633202669,7.804060805938207e-05,0.03187777671337244,7.804063716321252e-05,7.804065899108537e-05,7.804065899108537e-05
Uppsala University,105,4.2300614950363524e-05,0.9788703322410583,0.018525498502640403,4.2300614950363524e-05,4.230061858834233e-05,4.230060767440591e-05,4.230061858834233e-05,4.230061313137412e-05,4.230061858834233e-05,0.0013186142823542468
University of Copenhagen,107,0.00014702879707328975,0.5842523574829102,0.3669115751981735,0.00014702878252137452,0.00014702878252137452,0.00014702876069350168,0.00014702873158967122,0.00014702875341754407,0.00014702873158967122,0.00014702873886562884
University of California Davis,118,0.12387209571897984,0.0030245216285038623,1.050974651661818e-05,0.16054821421403176,0.6673196703195572,1.0509743333386723e-05,0.013187284926061693,1.050974196914467e-05,0.010975243868415419,1.050974651661818e-05
Western University,114,0.09604264294648601,2.9453214665409178e-05,0.1952439844608307,0.08213155960584118,0.26240256801247597,2.945321648439858e-05,2.9453221941366792e-05,2.9453203751472756e-05,2.945321648439858e-05,2.9453207389451563e-05
University of Helsinki,115,6.53546903777169e-05,0.01905779103981331,6.535471220558975e-05,6.535469401569571e-05,6.535469401569571e-05,6.535469401569571e-05,6.535468310175929e-05,6.535468310175929e-05,6.535467582580168e-05,6.53546867397381e-05
"KIT,Karlsruhe Institute of Technology",119,0.0003394079685676843,0.08087218197761104,0.00033940799767151475,0.05342258530436084,0.0003394081722944975,0.00033940799767151475,0.0003394081868464127,0.0003394079103600234,0.00033940804132726043,0.0003394080849830061
The Polytechnic University of Milan,123,0.017993180328630842,0.4001680314540863,0.07225083746016026,5.7117576943710446e-05,5.711758785764687e-05,5.7117580581689253e-05,5.7117576943710446e-05,5.711755875381641e-05,0.013073925860226154,0.008581815542129334
Eindhoven University of Technology,124,0.0004120951944059925,0.50373974442482,0.16663876175880432,0.00015091523709998,0.0064291818998754025,1.65328519869945e-05,0.00513819528350723,1.6532847439520992e-05,1.6532857443962712e-05,1.6532854715478607e-05
Macquarie University ,130,5.6440172556904145e-05,5.644016528094653e-05,0.5732911080121994,5.6440183470840566e-05,5.644018165185116e-05,5.6440158004988916e-05,5.644016891892534e-05,0.42585425885954464,5.644016164296772e-05,5.644016891892534e-05
Texas A&M University,134,5.9912197684752755e-05,5.991216494294349e-05,5.991219040879514e-05,5.9912197684752755e-05,0.056857450399547815,5.991215766698588e-05,5.991220132273156e-05,5.991215766698588e-05,5.991217585687991e-05,5.9912161304964684e-05
Sapienza University of Rome,134,0.0038838375767227262,0.17597605954688333,3.0512219382217154e-05,3.0512224839185365e-05,3.0512219382217154e-05,3.0512219382217154e-05,3.0512215744238347e-05,3.0512203011312522e-05,0.1007422273978591,0.5533066540956497
King Abdulaziz University ,143,6.997325908741914e-05,6.997324817348272e-05,6.997326636337675e-05,6.997325544944033e-05,0.2215212018127204,6.99732408975251e-05,6.997328455327079e-05,6.99732408975251e-05,0.777419239282608,6.997325908741914e-05
University of Bath ,148,5.716882515116595e-05,5.71688506170176e-05,0.9990771114826202,5.716883242712356e-05,5.716883242712356e-05,5.7168839703081176e-05,5.7168839703081176e-05,5.716881787520833e-05,5.7168839703081176e-05,5.716884334105998e-05
RMIT University,140,2.2581109078601003e-05,2.2581114535569213e-05,0.8748081624507904,2.2581109078601003e-05,2.2581109988095704e-05,2.25811072596116e-05,2.2581109078601003e-05,2.2581104531127494e-05,2.2581109988095704e-05,2.258111362607451e-05
Nanjing University,141,3.647981611720752e-05,0.007105119442712748,3.6479828850133345e-05,3.6479823393165134e-05,0.002244376028102124,3.6479828850133345e-05,0.0892919822690601,3.647981247922871e-05,0.7158574759960175,0.18377514742314816
