qs_ranking,institution,focus,location,continent,year_established,private_public,type,strategy_start,strategy_end,filename,pdf
102,University of Wisconsin-Madison ,FC,United States,North America,1848.0,Public,all streams,2023.0,2028.0,1.txt,1.0
103,The Pontifical Catholic University of Chile,FC,Chile,South America,1888.0,Private,all streams,2020.0,2025.0,2.txt,1.0
104,The University of Sheffield,FC,United Kingdom,Europe,1905.0,Public,all streams,2021.0,2025.0,3.txt,1.0
105,Uppsala University,FC,Sweden,Europe,1477.0,Public,all streams,2019.0,,4.txt,1.0
107,University of Copenhagen,FC,Denmark,Europe,1479.0,Public,all streams,2023.0,2030.0,5.txt,1.0
118,University of California Davis,FC,United States,North America,1905.0,Public,all streams,2022.0,2032.0,6.txt,1.0
114,Western University,FC,Canada,North America,1878.0,Public,research,2021.0,2028.0,7.txt,1.0
115,University of Helsinki,CO,Finland,Europe,1640.0,Public,all streams,2021.0,2030.0,8.txt,0.0
119,"KIT,Karlsruhe Institute of Technology",CO,Germany,Europe,1825.0,Public,research,,2025.0,9.txt,0.0
123,The Polytechnic University of Milan,FO,Italy,Europe,1863.0,Public,technological,2023.0,2025.0,10.txt,1.0
124,Eindhoven University of Technology,FO,Netherlands,Europe,1956.0,Public,technological,2018.0,2030.0,11.txt,1.0
130,Macquarie University ,FC,Australia,Australia,1964.0,Public,research,2020.0,2024.0,12.txt,1.0
134,Texas A&M University,FC,United States,North America,1876.0,Public,research,2022.0,2027.0,13.txt,1.0
134,Sapienza University of Rome,FC,Italy,Europe,1303.0,Public,all streams,2016.0,2021.0,14.txt,1.0
143,King Abdulaziz University ,FC,Saudi Arabia,Asia,1967.0,Public,all streams,2022.0,2027.0,15.txt,1.0
148,University of Bath ,CO,United Kingdom,Europe,1966.0,Public,research,2021.0,2026.0,16.txt,1.0
140,RMIT University,CO,Australia,Australia,1887.0,Public,all streams,2022.0,2031.0,17.txt,1.0
141,Nanjing University,FC,China,Asia,1902.0,Public ,all streams,2024.0,2026.0,18.txt,1.0
143,Aarhus University,FC,Denmark,Europe,1928.0,Public,all streams,2020.0,2025.0,19.txt,1.0
145,Rice University ,FC,United States,North America,1912.0,Private,all streams,2017.0,2027.0,20.txt,1.0
158,University of Putra Malaysia ,FC,Malaysia,Asia,1931.0,Public,research,2021.0,2025.0,21.txt,0.0
149,Indian Institute of Technology Bombay,CO,India,Asia,1958.0,Public,technological,2017.0,2022.0,22.txt,1.0
154,Cardiff University,FC,United Kingdom,Europe,1883.0,Public,all streams,2022.0,2030.0,23.txt,1.0
159,Ghent University,FC,Belgium,Europe,1817.0,Public,research,,,24.txt,1.0
162,University of  Wollongong,FC,Australia,Australia,1951.0,Public,all streams,2020.0,2025.0,25.txt,1.0
151,The Ohio State University,FC,United States,North America,1870.0,Public,all streams,2016.0,2020.0,26.txt,1.0
164,Kyushu University,FC,Japan,Asia,1911.0,Public,all streams,2021.0,2030.0,27.txt,1.0
169,University of Maryland,FC,United States,North America,1856.0,Public,all streams,2022.0,,28.txt,1.0
173,Qatar University ,FC,Qatar,Asia,1973.0,Public,research,2018.0,2023.0,29.txt,1.0
173,University of Cape Town,FC,South Africa,Africa,1829.0,Public,all streams,2021.0,2030.0,30.txt,1.0
