Name,rank,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
University of Wisconsin-Madison ,102,0.10244195073755691,0.0001801464459276758,0.00018014455417869613,0.4443322867155075,0.0001801445978344418,0.00018014961096923798,0.00018014932720689103,0.000180150025698822,0.00018015363457379863,0.11431223776889965
The Pontifical Catholic University of Chile,103,0.591698169708252,1.739838444336783e-05,1.7398411728208885e-05,0.0007901296539785108,1.7398544059687993e-05,1.739825620461488e-05,0.32985036007312374,0.07752214558422565,1.7398483123542974e-05,1.739835261105327e-05
The University of Sheffield,104,0.00012087070354027674,0.0001208709909406025,0.00012087034338037483,0.00012087187860743143,0.0001208668909384869,0.0001208677604154218,0.00012086670903954655,0.013050442183157429,0.009960124934877967,0.6565545499324799
Uppsala University,105,0.5045822542160749,7.008731517998967e-05,7.008889951976016e-05,7.008869579294696e-05,7.008879219938535e-05,7.008664215391036e-05,7.008813554421067e-05,7.008874126768205e-05,0.011733101364370668,7.00895870977547e-05
University of Copenhagen,107,0.047874395531835034,0.00024238393234554678,0.2542566365664243,0.0002423941477900371,0.00024239161575678736,0.4987885934242513,0.0002423875848762691,0.00024238382320618257,0.1786633886222262,0.01872042264585616
University of California Davis,118,0.0023607661787536927,0.006163867311897775,1.612496862435364e-05,0.23389362916350365,0.24484512209892273,0.040866814669698215,0.046074461315129156,0.026215210556983948,1.61247412506782e-05,0.3091447614133358
Western University,114,4.826750409847591e-05,4.826700569537934e-05,4.8267018428305164e-05,0.30481763929128647,4.826585245609749e-05,4.8266367230098695e-05,4.826712392969057e-05,0.010093878674524603,4.826700569537934e-05,0.6827403604984283
University of Helsinki,115,0.00010022122296504676,0.00010021451089414768,0.00010022152855526656,0.00010021650086855516,0.00010021920388680883,0.00010021557318395935,0.9988976716995239,0.0001002159042400308,0.00010022291098721325,0.00010021858906839043
"KIT,Karlsruhe Institute of Technology",119,0.03176378604257479,0.0005248848028713837,0.06012902955990285,0.0005248813831713051,0.14064824012166355,0.0005248676025075838,0.7449179440736771,0.0005248798697721213,0.000524894698173739,0.018868118218961172
The Polytechnic University of Milan,123,0.6849968433380127,9.267280984204262e-05,0.03702412036363967,0.008316996991197811,0.002868784999009222,9.26748980418779e-05,0.02715286472812295,9.267277710023336e-05,0.0035764717067650054,0.002254751536383992
Eindhoven University of Technology,124,0.04676023358479142,2.605570716696093e-05,0.006127781991381198,2.605534427857492e-05,0.6073155254125595,2.605529243737692e-05,2.605559529911261e-05,2.6055859962070826e-05,2.605597910587676e-05,0.270906999707222
Macquarie University ,130,0.012168374123575632,9.059180956683122e-05,9.058980504050851e-05,0.029281260151037714,9.058837531483732e-05,9.058876821654849e-05,9.059477088158019e-05,9.059191870619543e-05,0.27084505716265994,0.2364661581814289
Texas A&M University,134,8.823889220366254e-05,8.823724419926293e-05,8.823611642583273e-05,0.009771464599907631,8.823726238915697e-05,0.49955881486675935,8.823889220366254e-05,8.823715688777156e-05,8.823905955068767e-05,8.823980533634312e-05
Sapienza University of Rome,134,0.9026325047016144,0.004124531507841311,0.0017596931156731443,4.564769551507197e-05,4.564759001368657e-05,4.564880327961873e-05,4.564846312860027e-05,0.053602171945385635,4.564737173495814e-05,4.5647968363482505e-05
King Abdulaziz University ,143,0.3939998882706277,0.49945574433513684,0.004619253566488624,0.00010884918810916133,0.0001088414792320691,0.00010884645962505601,0.00010884765652008355,0.00010884448056458496,0.00010884607036132365,0.00010884517905651592
University of Bath ,148,9.411911378265359e-05,9.411867722519673e-05,9.411653081770055e-05,9.411760765942745e-05,9.411713108420372e-05,9.41145553952083e-05,9.411942301085219e-05,9.411548307980411e-05,0.46475297166398377,0.03487048625538591
RMIT University,140,3.7147187867958564e-05,3.7146356589801144e-05,3.7146515751373954e-05,3.714747344929492e-05,0.004326747151935706,3.714664580911631e-05,3.714624108397402e-05,3.7146941394894384e-05,0.1191052220065103,0.3916865289211273
